date,Close,Volume,Open,High,Low,SMA_5,SMA_20,SMA_50,SMA_200,EMA_5,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Stoch_k,Stoch_d,OBV,Volume_SMA_20,Price_Volume_Ratio,ATR_14,ROC_10,MOM_10,positive_score,negative_score,neutral_score,sentiment_score,sentiment,Sentiment_SMA_5,Sentiment_SMA_10,Sentiment_Momentum,Sentiment_Volatility,Sentiment_ZScore
2015-03-16,31.2375,143265200,30.97,31.2375,30.7175,,,,,,,,,,,,,,,,,143265200.0,,2.1803969142541245e-07,,,,0.0,0.0,0.5625247955322266,0.0,neutral,,,,,0.0
2015-03-17,31.76,203564920,31.475,31.83,31.4125,,,,,,,,,,,,,,,,,346830120.0,,1.560190233169841e-07,,,,,,,0.0,,,,,,0.0
2015-03-18,32.1175,260472680,31.75,32.29,31.5925,,,,,,,,,,,,,,,,,607302800.0,,1.2330467824878986e-07,,,,0.9035399854183197,0.0,0.0,0.9035399854183197,positive,,,,,0.0
2015-03-19,31.8738,182698080,32.1875,32.3113,31.85,,,,,,,,,,,,,,,,,424604720.0,,1.7446160353737708e-07,,,,,,,0.9035399854183197,,,,,,0.0
2015-03-20,31.475,274064720,32.0625,32.1,31.29,31.69276,,,,31.692760000000003,,,,,,,,,,,,150540000.0,,1.1484513584966355e-07,,,,,,,0.9035399854183197,,0.5421239912509919,,,,0.0
2015-03-23,31.8025,150390400,31.78,31.9625,31.63,31.80576,,,,31.72934,,,,,,,,,,,,300930400.0,,2.1146629040151497e-07,,,,,,,0.9035399854183197,,0.7228319883346558,,inf,,0.0
2015-03-24,31.6725,130988800,31.8075,32.01,31.64,31.78826,,,,31.710393333333336,,,,,,,,,,,,169941600.0,,2.417954817511115e-07,,,,0.6058652997016907,0.0,0.0,0.6058652997016907,positive,0.8440050482749939,,inf,,0.0
2015-03-25,30.845,206022400,31.635,31.705,30.845,31.533759999999994,,,,31.421928888888893,,,,,,,,,,,,-36080800.0,,1.497167298313193e-07,,,,,,,0.6058652997016907,,0.7844701111316681,,-32.94538045029761,,0.0
2015-03-26,31.06,189638440,30.69,31.22,30.65,31.371,,,,31.301285925925928,,,,,,,,,,,,153557640.0,,1.637853591286661e-07,,,,0.876625657081604,0.0,0.0,0.876625657081604,positive,0.779087245464325,,-2.978764500859908,,0.0
2015-03-27,30.8125,157886880,31.1425,31.175,30.7275,31.2385,,,,31.13835728395062,,,,,,,,,,,,-4329240.0,,1.9515554427321637e-07,,,,,,,0.876625657081604,,0.7737043797969818,0.6579141855239868,-2.978764500859908,0.3663813850703764,0.0
2015-03-30,31.5925,187899920,31.0125,31.6,31.0,31.196499999999997,,,,31.289738189300415,,,,,,,,,,,,183570680.0,,1.6813471767311024e-07,,1.1364545818327345,0.3550000000000004,,,,0.876625657081604,,0.7683215141296387,0.7455767512321472,-2.978764500859908,0.2879533627259454,0.0
2015-03-31,31.1075,168077680,31.5225,31.6225,31.0888,31.083499999999997,,,,31.228992126200282,,,,,,,,,,,,15493000.0,,1.8507811388162903e-07,,-2.0544710327455915,-0.6524999999999999,,,,0.876625657081604,,0.8224735856056213,0.8332393169403076,44.689860520684604,0.12050639514044244,0.0
2015-04-01,31.0625,161852560,31.205,31.28,30.775,31.127,,,,31.173494750800188,,,,,,,,,,,,-146359560.0,,1.9191849668611975e-07,,-3.2848135751537315,-1.0549999999999997,,,,0.876625657081604,,0.876625657081604,0.830547884106636,44.689860520684604,0.11905361716616,0.0
2015-04-02,31.33,128685640,31.2575,31.39,31.0475,31.181,,,,31.225663167200125,,,,,,,,,,,,-17673920.0,,2.434615082149026e-07,,-1.706103445463048,-0.543800000000001,,,,0.876625657081604,,0.876625657081604,0.8278564512729645,0.0,0.11751441994002988,0.0
2015-04-06,31.8375,147669960,31.1175,31.8775,31.0825,31.386000000000003,,,,31.42960877813342,,,57.65109716122572,,,,,,,,,129996040.0,,2.1559902907808738e-07,0.5869003371090824,1.1517077045273936,0.36249999999999716,,,,0.876625657081604,,0.876625657081604,0.8251650184392929,0.0,0.11588536003408612,0.0
2015-04-07,31.5025,139579240,31.91,32.0305,31.495,31.368000000000002,,,,31.453905852088948,,,52.19084283751832,,,,,,,54.5757338630389,,-9583200.0,,2.2569617086323155e-07,0.5814285144911141,-0.9433220658753154,-0.29999999999999716,,,,0.876625657081604,,0.876625657081604,0.8224735856056213,0.0,0.1141625905868941,0.0
