datetime,title,source,link,sentiment_class,sentiment_score
1/6/2005 3:02:00 PM,Sultanate of Oman Agrees to Purchase Raytheon-Lockheed Martin Javelin ,PR Newswire,/news/stocks/sultanate-of-oman-agrees-to-purchase-raytheon-lockheed-martin-javelin-1029285961,positive,0.5286687016487122
1/13/2005 5:52:00 PM,Lockheed Martin Sells Its Share of Turkish Joint Venture to Turkish Ai,PR Newswire,/news/stocks/lockheed-martin-sells-its-share-of-turkish-joint-venture-to-turkish-ai-1001215814,neutral,0.9282665848731995
12/5/2005 11:07:00 PM,General Dynamics-Lockheed Martin Team Demonstrates Army's WIN-T Tactical Warfighter Network,PR Newswire,/news/stocks/general-dynamics-lockheed-martin-team-demonstrates-army-s-win-t-tactical-warfighter-network-1028435788,positive,0.8554255366325378
1/18/2006 2:22:00 PM,Lockheed Martin Selected as Lead Systems Engineer for U.S. Navy Information Operations Architecture,PR Newswire,/news/stocks/lockheed-martin-selected-as-lead-systems-engineer-for-u-s-navy-information-operations-architecture-1028848317,neutral,0.7406829595565796
4/10/2006 2:27:00 PM,U.S. Navy-Lockheed Martin Team Conducts First At-Sea Test of Aegis Open Architecture,PR Newswire,/news/stocks/u-s-navy-lockheed-martin-team-conducts-first-at-sea-test-of-aegis-open-architecture-1029184541,neutral,0.8315946459770203
12/5/2006 2:07:00 PM,Lockheed Martin DESWAT Hydrological Forecast System Demonstrated and Ready for Operation,PR Newswire,/news/stocks/lockheed-martin-deswat-hydrological-forecast-system-demonstrated-and-ready-for-operation-1000163501,positive,0.7592682242393494
4/26/2007 4:51:00 PM,T-50 Golden Eagle Soars in First Training Flight,PR Newswire,/news/stocks/t-50-golden-eagle-soars-in-first-training-flight-1029154177,positive,0.5882499814033508
3/12/2008 5:03:00 PM,"Lockheed Martin Unit to Honor Superlative Employees in New Jersey, Kansas, Pennsylvania, and Virginia",PR Newswire,/news/stocks/lockheed-martin-unit-to-honor-superlative-employees-in-new-jersey-kansas-pennsylvania-and-virginia-592140,neutral,0.7236218452453613
5/29/2011 4:42:07 AM,"Lockheed Martin hit by cyber incident, U.S. says",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/PQP_wRGrAb8/idINIndia-57352120110529,negative,0.9416912198066711
3/19/2013 2:27:24 AM,Lockheed Martin names Carvalho to head aeronautics,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/szbqYetFSu0/us-lockheed-aeronautics-idUSBRE92H11120130319,neutral,0.9406437277793884
7/1/2013 2:44:14 PM,Lockheed Martin launches international arm,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/CJr7oXUApmA/story01.htm,neutral,0.8665809631347656
9/12/2013 9:30:39 AM,"Lockheed Martin pursues tech deals in Britain, Australia",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/1gN95WmIOmg/story01.htm,neutral,0.7727648615837097
9/13/2013 3:03:18 AM,Lockheed Martin wins rare commercial contract for Atlas launch,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/MNissVGLZUM/story01.htm,positive,0.7669347524642944
9/21/2013 3:04:36 AM,Lockheed Martin clinches $4 billion Pentagon missile defense deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BS53QVQpk0o/story01.htm,neutral,0.5666099190711975
11/14/2013 7:34:01 PM,"Lockheed Martin to cut 4,000 jobs as U.S. defense spending falls",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ChrQiXtZsNg/story01.htm,negative,0.9677450656890869
11/14/2013 10:01:34 PM,"Lockheed Martin to cut 4,000 jobs as U.S. defense spending falls",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/kBTr88o2LgE/story01.htm,negative,0.9677450656890869
12/16/2013 3:14:55 PM,Lockheed Martin says CEO Hewson to also become chairman,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/MR66x2-ESbM/story01.htm,neutral,0.939670741558075
7/1/2014 4:48:59 PM,Lockheed Martin to move employees to new retirement plan,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ABVJjdigsLE/story01.htm,neutral,0.8916507959365845
1/27/2015 2:05:19 PM,Higher F-35 jet demand boosts Lockheed Martin revenue,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/xc3t3mvpVFM/story01.htm,positive,0.9509361386299133
4/21/2015 1:54:30 PM,Lockheed Martin profit falls 6 percent on fewer jet deliveries,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/UHwaST0pUEY/story01.htm,negative,0.9720741510391235
9/9/2015 6:32:17 AM,"Lockheed Martin to lay off 500 in information systems, government services unit: source",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/dIt9vs3lHnE/story01.htm,negative,0.9257312417030334
10/3/2015 12:24:04 AM,Exclusive: Lockheed Martin mulls merger of some services units with peer - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/YXWcfXaENbI/story01.htm,neutral,0.9392406344413757
12/1/2015 11:46:50 PM,Lockheed Martin wins contract for upgrade of Singapore F-16s,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/VZedw9VsDFE/story01.htm,positive,0.940354585647583
12/3/2015 11:44:26 PM,Lockheed martin wins air-to-surface missile contract,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/zOcPkox4e4w/story01.htm,positive,0.9214413166046143
6/9/2016 1:14:22 PM,Danish coalition to back $3 billion Lockheed Martin fighter deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DUeMw1dyyFM/us-denmark-fighterdeal-idUSKCN0YV15V,positive,0.8084245920181274
7/19/2016 1:56:27 PM,Lockheed Martin raises forecast as quarterly sales beat,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/L-zmT84CzJk/us-lockheed-results-idUSKCN0ZZ1CH,neutral,0.5311959981918335
