,datetime,title,source,link
0,12/15/2016 12:15:47 AM,"Cisco's hated rival Arista has won a big victory in court (ANET, CSCO)",Business Insider,http://www.businessinsider.com/arista-beats-cisco-in-court-2016-12
1,2/17/2017 8:39:50 PM,Arista Networks Holding On To Strong Gain In Afternoon Trading ,RTTNews,/news/stocks/arista-networks-holding-on-to-strong-gain-in-afternoon-trading-1001762446
2,4/19/2017 2:46:00 PM,"Glance Technologies Appoints Former VP of Cisco Systems, Inc. to Board of Directors",PR Newswire,/news/stocks/glance-technologies-appoints-former-vp-of-cisco-systems-inc-to-board-of-directors-1001930755
3,4/20/2017 1:10:00 PM,"Research Reports Coverage on Computer Systems Stocks -- Dell Technologies, Diebold Nixdorf, Arista Networks, and Cray",PR Newswire,/news/stocks/research-reports-coverage-on-computer-systems-stocks-dell-technologies-diebold-nixdorf-arista-networks-and-cray-1001934188
4,6/8/2017 12:50:00 PM,"Stocks Under Scanner in the Diversified Computer Systems Space -- Hewlett Packard Enterprise, Dell Technologies, Diebold Nixdorf, and Arista Networks",PR Newswire,/news/stocks/stocks-under-scanner-in-the-diversified-computer-systems-space-hewlett-packard-enterprise-dell-technologies-diebold-nixdorf-and-arista-networks-1002077795
5,7/6/2017 2:48:09 AM,"Cisco has scored a victory over a major rival: Arista's products are banned from entering the US (CSCO, ANET)",Business Insider,http://www.businessinsider.com/cisco-scores-aristas-products-are-banned-from-us-2017-7
6,8/17/2017 9:00:06 PM,"Cisco once created a 'Tiger Team' to attack a hated rival (CSCO, ANET)",Business Insider,http://www.businessinsider.com/cisco-tiger-team-attack-arista-networks-2017-8
7,8/30/2017 12:55:00 PM,"Technical Insights on Computer Systems Stocks -- Arista Networks, Diebold Nixdorf, Dell Technologies, and Hewlett Packard Enterprise",PR Newswire,/news/stocks/technical-insights-on-computer-systems-stocks-arista-networks-diebold-nixdorf-dell-technologies-and-hewlett-packard-enterprise-1002294265
8,3/28/2018 12:29:00 PM,"BRIEF-Arista Networks Says ‍On March 23, Administrative Law Judge At International Trade Commission Issued A Recommended Determination​",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/si00MAtMzaU/brief-arista-networks-says-on-march-23-administrative-law-judge-at-international-trade-commission-issued-a-recommended-determination-idUSFWN1RA0C2
9,7/31/2018 3:02:53 PM,What Wall Street expects from Arista Networks's earnings,Markets Insider Automation,/news/stocks/arista_networks-quarter-earnings-preview-q2-1027416604
10,8/6/2018 5:13:56 PM,REFILE-BRIEF-Arista Networks To Pay Cisco $400 Mln To Resolve Pending Litigation,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/3znBzC7MKCo/idUSFWN1UX0VC
11,10/30/2018 3:03:29 PM,Arista Networks is about to announce its earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/arista_networks-q3-earnings-preview-1027671591
12,2/12/2019 3:03:10 PM,Arista Networks earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/arista_networks-q4-earnings-preview-stock-1027945462
13,4/30/2019 3:02:46 PM,Arista Networks earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/arista_networks-q1-earnings-preview-stock-1028153780
14,6/27/2019 8:22:09 PM,"Nasdaq Today: iQiyi Surges on Award; Intel, Cisco Struggle",InvestorPlace,/news/stocks/nasdaq-today-iqiyi-surges-award-intel-cisco-struggle-1028315879
15,7/9/2019 8:30:00 PM,Nasdaq Today: M&A Fuels Stocks; Streaming Wars to Heat Up,InvestorPlace,/news/stocks/nasdaq-today-m-streaming-wars-to-heat-up-1028340718
16,7/18/2019 7:18:44 PM,10 Tech Stocks That Are Still Worth Your Time (And Money),InvestorPlace,/news/stocks/tech-stocks-to-buy-1028366584
17,7/30/2019 3:03:13 PM,Here's what Wall Street expects from Arista Networks's earnings,Markets Insider Automation,/news/stocks/arista_networks-stock-q2-earnings-preview-1028398707
18,8/2/2019 7:20:33 PM,"6 Top Stock Trades for Monday: X, APHA, XOM, ETSY",InvestorPlace,/news/stocks/6-top-stock-trades-for-monday-x-apha-xom-etsy-1028413359
19,8/2/2019 8:10:23 PM,Stock Market Today: Fight the Fed or Fight the President? ,InvestorPlace,/news/stocks/stock-market-today-fight-the-fed-or-fight-the-president-1028413358
20,9/3/2019 1:49:49 PM,Cisco Stock May Go Nowhere for a While,InvestorPlace,/news/stocks/cisco-stock-may-go-nowhere-for-a-while-1028495984
21,9/9/2019 5:49:59 PM,"Buy Cisco Stock for the Bargain, Stick With it for the Stability",InvestorPlace,/news/stocks/buy-cisco-stock-for-the-bargain-stick-with-it-for-the-stability-1028510823
22,11/1/2019 8:26:55 PM,Stock Market Today: Jobs Report Beats; New Payment King?,InvestorPlace,/news/stocks/stock-market-today-jobs-report-beats-new-payment-king-1028652782
23,11/1/2019 8:40:01 PM,Arista Networks Earnings: ANET Stock Plummets 24% on Dismal Outlook,InvestorPlace,/news/stocks/arista-networks-earnings-slam-anet-stock-1028652781
24,11/4/2019 6:59:24 PM,Was Wall Street Wrong About Arista Network Stock?,InvestorPlace,/news/stocks/was-wall-street-wrong-about-arista-network-stock-1028656874
25,11/6/2019 2:42:33 PM,Can Micron Stock Reach New Highs?,InvestorPlace,/news/stocks/can-micron-mu-stock-make-new-highs-1028665371
26,11/6/2019 4:08:07 PM,Cisco Stock Is Waiting for the 5G Storm,InvestorPlace,/news/stocks/cisco-stock-is-waiting-for-the-5g-storm-1028665855
27,11/14/2019 7:53:31 PM,7 Earnings Reports to Watch Next Week,InvestorPlace,/news/stocks/7-earnings-reports-to-watch-1028629299
28,11/21/2019 1:05:40 PM,"After Cisco Stock’s Post-Results Battering, is it Time for a Long-Term Buy?",InvestorPlace,/news/stocks/after-cisco-stocks-post-results-battering-is-it-time-for-a-long-term-buy-1028707794
29,11/22/2019 11:40:27 AM,"If You Own Nokia Stock, Prepare for More of the Same Disappointments",InvestorPlace,/news/stocks/nokia-stock-nok-stock-simply-trusted-1028711246
30,12/20/2019 12:13:53 PM,"3 Big Stock Charts for Friday: 3M, Arista Networks, and Gap",InvestorPlace,/news/stocks/3-big-stock-charts-for-friday-3m-arista-networks-and-gap-1028778925
31,1/3/2020 1:03:14 PM,Look for This Recovery in Cisco Stock to Carry Well into 2020,InvestorPlace,/news/stocks/recovery-in-cisco-stock-to-carry-2020-1028793226
32,2/4/2020 2:57:00 PM,Earnings Need to Re-Inspire Confidence in Cisco Stock,InvestorPlace,/news/stocks/earnings-need-confidence-csco-stock-1028872719
33,2/12/2020 3:03:08 PM,Arista Networks earnings: here's what to expect,Markets Insider Automation,/news/stocks/arista_networks-stock-quarter-earnings-preview-q4-1028898610
